feedback_id,order_id,customer_id,rating,comment,feedback_date,feedback_type,would_recommend
FD-00000001,ORD-00076122,CUST-06461,2,Very fast,2024-11-10 19:00:18,delivery,False
FD-00000002,ORD-00053137,CUST-11582,4,,2025-02-02 04:00:18,packaging,True
FD-00000003,ORD-00001630,CUST-16045,1,,2024-11-18 11:00:18,service,False
FD-00000004,ORD-00086499,CUST-12054,2,Recommended!,2024-06-15 23:00:18,delivery,True
FD-00000005,ORD-00038479,CUST-10168,5,Could be better,2024-10-07 15:00:18,service,True
FD-00000006,ORD-00020806,CUST-06601,2,Late delivery,2025-07-17 00:00:18,service,True
FD-00000007,ORD-00003994,CUST-08633,1,,2024-12-26 17:00:18,service,False
FD-00000008,ORD-00076938,CUST-10912,2,Recommended!,2025-12-03 08:00:18,packaging,True
FD-00000009,ORD-00060637,CUST-06511,4,Package damaged,2025-12-29 03:00:18,delivery,True
FD-00000010,ORD-00064562,CUST-09774,4,,2025-03-08 18:00:18,packaging,False
FD-00000011,ORD-00016601,CUST-02064,5,Could be better,2024-08-22 21:00:18,delivery,False
FD-00000012,ORD-00007690,CUST-01236,1,On time,2024-11-11 14:00:18,delivery,False
FD-00000013,ORD-00007207,CUST-18124,4,Would order again,2025-01-25 17:00:18,packaging,True
FD-00000014,ORD-00045062,CUST-02331,2,Good,2024-08-25 00:00:18,service,False
FD-00000015,ORD-00054113,CUST-03391,2,Good,2025-08-25 00:00:18,delivery,True
FD-00000016,ORD-00018902,CUST-18715,4,,2024-06-10 07:00:18,packaging,True
FD-00000017,ORD-00084562,CUST-11984,4,,2024-06-08 12:00:18,packaging,False
FD-00000018,ORD-00010859,CUST-11246,2,,2024-08-16 14:00:18,delivery,True
FD-00000019,ORD-00099355,CUST-05458,1,Very fast,2026-01-27 08:00:18,service,True
FD-00000020,ORD-00014326,CUST-16607,2,Recommended!,2025-05-20 16:00:18,service,False
FD-00000021,ORD-00008060,CUST-12654,2,Recommended!,2025-10-28 21:00:18,delivery,False
FD-00000022,ORD-00015572,CUST-13832,5,Very fast,2024-05-09 10:00:18,service,True
FD-00000023,ORD-00064380,CUST-08799,3,Late delivery,2024-07-31 07:00:18,delivery,True
FD-00000024,ORD-00015433,CUST-04192,4,Would order again,2025-03-16 09:00:18,delivery,True
FD-00000025,ORD-00057460,CUST-10002,3,Package damaged,2025-11-03 04:00:18,packaging,False
FD-00000026,ORD-00000896,CUST-04962,1,Would order again,2025-04-14 01:00:18,service,True
FD-00000027,ORD-00066727,CUST-06540,2,,2025-08-15 03:00:18,delivery,True
FD-00000028,ORD-00003311,CUST-14981,4,Late delivery,2025-09-26 12:00:18,packaging,True
FD-00000029,ORD-00004065,CUST-06076,5,Would order again,2025-12-20 00:00:18,service,True
FD-00000030,ORD-00087330,CUST-04769,5,Would order again,2024-11-05 10:00:18,packaging,False
FD-00000031,ORD-00051784,CUST-13706,1,On time,2024-08-05 04:00:18,packaging,True
FD-00000032,ORD-00011047,CUST-16103,3,Could be better,2025-01-13 19:00:18,packaging,True
FD-00000033,ORD-00083037,CUST-09689,4,,2025-09-30 01:00:18,packaging,True
FD-00000034,ORD-00078126,CUST-04734,4,Package damaged,2024-10-23 02:00:18,packaging,False
FD-00000035,ORD-00028809,CUST-00266,5,Package damaged,2025-07-30 12:00:18,delivery,False
FD-00000036,ORD-00020016,CUST-16920,4,,2025-07-02 05:00:18,packaging,True
FD-00000037,ORD-00023798,CUST-00626,4,Recommended!,2025-05-27 16:00:18,delivery,False
FD-00000038,ORD-00002819,CUST-18191,5,Recommended!,2024-10-07 00:00:18,packaging,True
FD-00000039,ORD-00062276,CUST-05144,4,Could be better,2025-04-20 18:00:18,packaging,True
FD-00000040,ORD-00005412,CUST-04696,4,,2025-05-13 20:00:18,packaging,False
FD-00000041,ORD-00024087,CUST-12086,1,Very fast,2024-08-04 07:00:18,service,True
FD-00000042,ORD-00097171,CUST-07620,5,Excellent service,2024-08-07 09:00:18,delivery,False
FD-00000043,ORD-00038221,CUST-02283,3,,2025-05-24 04:00:18,service,True
FD-00000044,ORD-00041809,CUST-05863,3,,2025-05-29 17:00:18,delivery,True
FD-00000045,ORD-00080127,CUST-13130,1,Very fast,2024-09-08 05:00:18,packaging,False
FD-00000046,ORD-00092542,CUST-01636,5,Very fast,2024-10-25 20:00:18,packaging,True
FD-00000047,ORD-00090300,CUST-17240,1,,2025-08-05 18:00:18,service,True
FD-00000048,ORD-00045342,CUST-03953,1,,2024-11-07 18:00:18,delivery,True
FD-00000049,ORD-00072413,CUST-11184,3,Late delivery,2025-01-18 17:00:18,delivery,True
FD-00000050,ORD-00047666,CUST-02085,2,Package damaged,2025-07-16 08:00:18,packaging,True
FD-00000051,ORD-00039869,CUST-01632,1,Package damaged,2024-07-29 12:00:18,service,False
FD-00000052,ORD-00016185,CUST-03762,3,,2025-05-17 03:00:18,service,False
