driver_id,date,total_deliveries,on_time_deliveries,late_deliveries,rating,customer_complaints,fuel_efficiency,accidents,overtime_hours
DRV-0316,2024-11-20,34,18,16,4.84,4.0,11.05,3,5.8
DRV-0440,2024-05-20,15,8,7,4.37,2.0,18.33,0,1.4
DRV-0185,2024-12-03,33,7,26,2.85,4.0,16.71,2,4.1
DRV-0207,2024-06-08,26,5,21,4.46,4.0,11.78,3,7.9
DRV-0337,2024-09-18,8,6,2,3.08,2.0,14.29,1,7.1
DRV-0041,2024-05-15,11,3,8,4.43,3.0,13.68,2,1.9
DRV-0197,2025-06-13,14,5,9,3.0,4.0,10.61,2,5.3
DRV-0243,2024-11-26,38,25,13,2.93,1.0,14.45,0,5.9
DRV-0217,2024-06-19,29,12,17,2.82,5.0,11.6,3,4.8
DRV-0475,2025-02-25,20,18,2,3.72,1.0,8.51,1,4.5
DRV-0069,2024-10-14,22,13,9,4.37,0.0,19.3,0,2.0
DRV-0289,2024-07-05,39,26,13,3.15,5.0,17.1,3,7.7
DRV-0473,2026-03-01,26,8,18,2.95,4.0,18.74,2,0.7
DRV-0330,2025-10-10,29,3,26,4.38,3.0,19.31,3,3.8
DRV-0339,2026-03-11,30,9,21,4.01,2.0,6.75,2,3.3
DRV-0388,2024-05-08,37,23,14,2.55,2.0,7.12,3,5.6
DRV-0302,2024-06-01,7,6,1,3.88,5.0,15.15,3,5.9
DRV-0067,2025-04-20,38,29,9,4.16,0.0,18.81,0,3.3
DRV-0471,2025-06-11,18,11,7,,3.0,9.55,1,1.1
DRV-0279,2025-05-08,24,6,18,4.04,1.0,15.77,0,4.0
DRV-0457,2025-05-02,23,15,8,,3.0,11.03,1,3.6
DRV-0219,2024-08-24,20,18,2,2.94,0.0,11.19,3,1.8
DRV-0089,2026-01-20,22,13,9,2.91,0.0,18.19,3,7.5
DRV-0036,2026-01-27,11,3,8,2.77,2.0,6.3,3,2.5
DRV-0304,2024-08-24,17,4,13,4.15,3.0,14.72,1,2.9
DRV-0314,2025-02-17,16,5,11,4.12,0.0,6.93,2,2.4
DRV-0263,2026-01-25,7,4,3,3.14,1.0,11.53,3,7.5
DRV-0206,2026-01-01,37,31,6,3.48,5.0,19.83,2,4.8
DRV-0046,2025-09-20,20,18,2,,2.0,18.99,1,0.6
DRV-0184,2026-04-04,14,5,9,3.63,3.0,6.7,3,3.5
DRV-0184,2024-12-09,15,12,3,2.76,2.0,18.58,1,4.2
DRV-0438,2024-09-01,26,13,13,2.61,5.0,11.22,1,2.6
DRV-0167,2025-12-31,5,3,2,2.5,2.0,14.56,3,5.1
DRV-0132,2025-11-19,15,8,7,4.41,3.0,9.82,2,0.4
DRV-0071,2025-01-05,33,10,23,4.06,2.0,8.14,0,7.5
DRV-0091,2025-11-20,37,13,24,4.65,4.0,8.06,0,5.4
DRV-0209,2026-01-17,31,4,27,3.09,0.0,19.67,1,4.4
DRV-0424,2025-05-12,33,20,13,4.78,1.0,16.41,2,4.0
DRV-0055,2025-04-24,37,13,24,3.95,1.0,12.62,2,7.5
DRV-0338,2025-05-18,24,13,11,3.49,0.0,12.57,1,5.0
DRV-0405,2025-03-04,7,6,1,3.55,5.0,7.79,2,5.9
DRV-0302,2024-09-24,11,10,1,2.72,0.0,10.25,3,4.1
DRV-0307,2024-07-19,33,8,25,3.81,5.0,18.73,3,4.8
DRV-0390,2026-03-08,35,12,23,4.98,0.0,19.47,0,5.3
