date,location,fuel_type,price_per_liter,station_brand
2025-04-24,Berlin,electric,0.382,BP
2025-03-07,Leipzig,e10,1.49,Total
2024-05-03,Dusseldorf,petrol,1.717,Rewe
2025-05-05,Cologne,e10,2.177,EDEKA
2026-03-13,Dresden,e10,1.746,EDEKA
2024-09-02,Dresden,electric,0.243,Total
2024-09-18,Leipzig,electric,0.48,Rewe
2025-12-07,Hamburg,e10,1.565,Rewe
2024-11-24,Leipzig,petrol,2.182,Aral
2026-02-27,Dusseldorf,petrol,1.615,Shell
2025-07-13,Dortmund,diesel,2.141,Shell
2025-03-28,Dresden,e10,1.717,Shell
2025-10-25,Dortmund,electric,0.207,Shell
2025-04-05,Stuttgart,e5,1.568,Rewe
2024-05-01,Stuttgart,e10,1.875,BP
2026-02-25,Berlin,e10,1.478,BP
2025-01-02,Berlin,e10,1.447,Rewe
2024-08-08,Berlin,diesel,1.472,BP
2025-11-23,Hamburg,petrol,1.87,Shell
2025-10-25,Dresden,petrol,1.224,BP
2025-10-15,Dortmund,petrol,2.139,Total
2025-10-10,Hamburg,electric,0.314,BP
2025-06-15,Dresden,electric,0.439,Total
2025-05-28,Frankfurt,petrol,1.916,Shell
2024-09-06,Frankfurt,diesel,2.086,Total
2024-05-04,Munich,electric,0.455,EDEKA
2026-01-27,Stuttgart,electric,0.257,EDEKA
2025-08-17,Cologne,e10,1.582,Total
2025-05-10,Hamburg,e5,1.569,Total
2025-06-13,Frankfurt,electric,0.201,EDEKA
2025-09-26,Dortmund,e10,1.322,Shell
2024-04-22,Dusseldorf,diesel,1.47,Rewe
2024-04-19,Berlin,diesel,1.863,EDEKA
2025-07-16,Hamburg,petrol,1.211,Shell
2024-10-16,Cologne,petrol,1.593,Shell
2024-05-26,Leipzig,e10,1.864,Aral
2026-03-21,Stuttgart,electric,0.425,Rewe
2024-10-13,Dortmund,e5,2.126,Total
2024-09-12,Frankfurt,diesel,1.331,Rewe
2025-11-07,Hamburg,diesel,2.113,Aral
2026-04-11,Leipzig,electric,0.402,Aral
2025-03-07,Dortmund,petrol,2.129,Aral
2024-10-24,Dresden,petrol,1.395,EDEKA
2024-06-08,Hamburg,petrol,1.561,BP
2025-04-09,Frankfurt,e5,1.763,Rewe
2024-11-27,Stuttgart,electric,0.473,BP
2025-08-14,Cologne,petrol,1.944,EDEKA
2024-12-03,Hamburg,petrol,1.982,Aral
2025-11-18,Frankfurt,electric,0.251,EDEKA
2025-06-09,Dusseldorf,e5,2.176,Aral
2026-03-06,Berlin,e10,1.576,EDEKA
2025-01-16,Munich,e5,1.862,EDEKA
2024-08-28,Stuttgart,e10,2.186,Shell
2024-09-05,Cologne,electric,0.301,Aral
2024-06-24,Cologne,e5,1.533,Shell
2024-08-10,Leipzig,e10,1.732,Total
2026-04-05,Hamburg,petrol,2.102,Rewe
2026-01-15,Frankfurt,petrol,1.864,Rewe
2024-05-23,Dusseldorf,diesel,1.794,BP
2024-12-28,Leipzig,electric,0.328,Shell
2025-11-04,Dresden,e5,1.735,Shell
2025-04-03,Cologne,diesel,1.42,EDEKA
2024-09-07,Dortmund,e10,1.58,Shell
2026-01-18,Leipzig,e10,1.241,BP
2025-01-10,Dusseldorf,petrol,1.364,BP
2025-01-07,Leipzig,petrol,1.657,BP
2025-04-23,Cologne,electric,0.48,EDEKA
2025-02-08,Munich,e10,1.976,Aral
