timestamp,route_id,hour,congestion_level,avg_speed_kmh,traffic_volume,delay_minutes
2024-06-21 06:53,RTE-0424,6,medium,71.8,4641,0
2025-09-18 20:53,RTE-0697,20,low,141.3,2360,0
2024-09-19 09:53,RTE-0752,9,low,120.9,4231,0
2024-11-24 14:53,RTE-0293,14,moderate,84.0,2137,0
2024-09-01 22:53,RTE-0434,22,heavy,72.2,3035,17
2026-02-14 07:53,RTE-0985,7,low,125.8,5735,0
2025-10-23 14:53,RTE-0212,14,medium,110.1,4529,0
2025-12-15 12:53,RTE-0327,12,high,98.0,1920,20
2024-12-31 13:53,RTE-0448,13,blocked,130.9,4195,0
2025-05-07 03:53,RTE-0990,3,low,106.8,1318,0
2024-04-25 01:53,RTE-0948,1,medium,,7822,0
2025-02-17 21:53,RTE-0055,21,moderate,131.1,576,0
2025-07-05 05:53,RTE-0864,5,medium,96.1,6336,0
2025-06-24 04:53,RTE-0735,4,blocked,45.3,3702,0
2025-03-28 22:53,RTE-0106,22,heavy,99.0,3838,41
2024-07-15 16:53,RTE-0619,16,medium,123.5,1997,0
2024-12-19 08:53,RTE-0348,8,low,127.0,3147,0
2025-04-16 22:53,RTE-0629,22,medium,47.9,2252,0
2025-12-16 08:53,RTE-0084,8,light,144.7,3049,0
2026-04-08 16:53,RTE-0690,16,high,92.9,1100,49
2025-11-14 09:53,RTE-0929,9,high,138.4,3187,39
2024-05-11 03:53,RTE-0524,3,medium,75.0,4735,0
2025-02-28 08:53,RTE-0973,8,severe,21.3,373,20
2024-07-02 10:53,RTE-0462,10,light,178.0,7482,0
2025-11-07 19:53,RTE-0976,19,heavy,135.7,6790,33
2025-01-02 22:53,RTE-0450,22,severe,155.8,345,56
2025-08-16 13:53,RTE-0983,13,high,61.8,1500,17
2025-12-01 02:53,RTE-0780,2,high,157.4,5053,59
2025-02-27 06:53,RTE-0949,6,severe,27.4,3606,2
2026-04-01 22:53,RTE-0092,22,medium,101.2,1739,0
2025-09-18 17:53,RTE-0285,17,light,50.6,3698,0
2026-01-30 04:53,RTE-0321,4,unknown,68.3,5512,0
2024-11-04 23:53,RTE-0663,23,moderate,56.5,394,0
2024-07-22 18:53,RTE-0991,18,moderate,35.5,7907,0
2025-06-15 15:53,RTE-0241,15,low,157.1,1973,0
2025-04-14 11:53,RTE-0282,11,unknown,176.0,1178,0
2026-03-09 05:53,RTE-0873,5,medium,170.0,615,0
2024-07-20 21:53,RTE-0482,21,medium,133.0,2065,0
2025-03-20 10:53,RTE-0479,10,moderate,77.5,1718,0
2025-02-27 12:53,RTE-0058,12,high,,3744,5
2024-06-18 17:53,RTE-0467,17,severe,87.1,5362,45
2024-08-29 19:53,RTE-0735,19,low,143.6,193,0
2025-01-28 17:53,RTE-0946,17,high,,1115,37
2024-10-21 00:53,RTE-0886,0,moderate,53.5,151,0
2025-05-02 05:53,RTE-0497,5,low,165.4,6542,0
2025-01-16 02:53,RTE-0630,2,heavy,68.2,1687,39
2025-08-10 14:53,RTE-0918,14,low,97.5,7418,0
2025-02-13 10:53,RTE-0454,10,medium,95.6,4669,0
2024-06-03 01:53,RTE-0928,1,heavy,86.3,6630,3
2026-01-10 00:53,RTE-0149,0,low,105.9,1471,0
2024-06-26 04:53,RTE-0341,4,low,54.1,6050,0
2025-12-17 11:53,RTE-0654,11,blocked,164.6,4068,0
2024-07-15 03:53,RTE-0723,3,high,99.1,466,30
