vehicle_id,maintenance_date,maintenance_type,cost,description,mechanic_id,mileage_at_service,next_maintenance_due,service_duration_hours
VEH-287,2024-04-24,inspection,1323.55,Inspection - emergency,MECH-18,120248,2024-09-19,3.2
VEH-035,2025-03-24,replacement,548.11,Replacement - scheduled,MECH-1,160136,2025-08-08,2.3
VEH-298,2025-11-04,tire_rotation,800.07,Tire Rotation - routine,MECH-5,111038,2026-04-09,5.3
VEH-101,2025-11-06,tire_rotation,916.05,Tire Rotation - preventive,MECH-5,185824,2026-01-07,18.9
VEH-269,2026-03-05,tire_rotation,420.65,Tire Rotation - scheduled,MECH-18,140242,2027-02-25,9.3
VEH-018,2025-12-01,brake_service,51.51,Brake Service - routine,MECH-17,155347,2026-02-19,15.0
VEH-198,2026-03-07,brake_service,978.94,Brake Service - emergency,MECH-7,144665,2026-11-29,13.6
VEH-023,2026-03-12,tire_rotation,402.32,Tire Rotation - preventive,MECH-5,12526,2026-07-17,8.0
VEH-299,2024-12-26,inspection,68.97,Inspection - scheduled,MECH-1,168517,2025-06-23,20.8
VEH-084,2025-09-16,oil_change,146.2,,MECH-20,114163,2026-02-17,17.5
VEH-263,2025-08-20,replacement,1503.23,Replacement - emergency,MECH-20,66835,2025-10-18,16.1
VEH-211,2024-08-27,tire_rotation,1347.63,Tire Rotation - scheduled,MECH-17,177644,2024-10-06,1.9
VEH-249,2025-01-05,oil_change,1043.92,Oil Change - routine,MECH-9,194915,2025-04-21,18.7
VEH-291,2026-03-22,oil_change,1972.11,Oil Change - preventive,MECH-8,64337,2027-02-17,3.5
VEH-161,2024-08-28,repair,306.66,Repair - routine,MECH-8,120182,2025-04-19,17.5
VEH-100,2024-12-12,brake_service,253.65,Brake Service - routine,MECH-7,41228,2025-02-03,16.0
VEH-220,2025-10-14,general_check,604.45,General Check - scheduled,MECH-19,175073,2026-08-17,9.7
VEH-207,2024-12-18,replacement,170.62,Replacement - preventive,MECH-11,109277,2025-03-20,9.0
VEH-194,2025-11-23,brake_service,245.57,Brake Service - preventive,MECH-5,122773,2026-11-04,9.3
VEH-158,2024-10-25,repair,1251.78,Repair - routine,MECH-14,31699,2025-07-04,1.7
VEH-134,2026-01-04,replacement,505.65,Replacement - routine,MECH-14,45561,2026-05-23,10.1
VEH-164,2025-10-10,general_check,264.42,General Check - emergency,MECH-2,128098,2026-08-31,23.8
VEH-114,2025-04-13,oil_change,1562.28,Oil Change - routine,MECH-15,54460,2025-12-16,17.7
VEH-049,2024-09-21,brake_service,901.52,Brake Service - preventive,MECH-11,45011,2025-08-04,20.8
VEH-233,2025-12-26,oil_change,1829.36,Oil Change - preventive,MECH-7,46573,2026-09-23,12.4
