warehouse_id,date,inbound_volume,outbound_volume,throughput,avg_processing_time_minutes,delays_count,efficiency_score,staff_count,overtime_hours,error_rate,returns_received
WH-05,2025-07-06,278,669,669,20.43,15,80.65,52,57.7,1.91,13
WH-07,2024-06-09,96,607,607,44.64,17,,79,34.0,1.47,26
WH-09,2025-10-22,192,245,245,13.39,20,77.31,66,58.7,0.19,43
WH-01,2025-04-18,119,372,372,10.01,0,,58,24.3,4.9,44
WH-07,2025-07-14,373,489,489,30.27,14,,86,1.6,2.42,15
WH-11,2025-05-20,292,529,529,24.95,11,85.43,69,29.5,1.77,49
WH-10,2024-07-05,287,159,159,32.96,14,76.44,30,93.0,3.89,37
WH-12,2025-09-09,359,412,412,21.17,1,96.07,50,38.4,2.11,8
WH-14,2025-04-22,122,424,424,26.97,18,92.06,78,55.8,2.31,16
WH-20,2026-02-15,114,235,235,24.7,8,89.89,74,55.7,4.65,18
WH-10,2024-07-30,353,577,577,43.62,3,97.77,25,15.2,4.47,15
WH-18,2025-01-18,212,231,231,16.66,20,90.82,50,21.6,4.02,16
WH-19,2024-07-10,371,632,632,38.97,1,70.12,33,30.0,2.31,21
WH-15,2025-03-22,131,178,178,17.96,16,80.76,37,11.5,2.23,37
WH-02,2025-05-17,239,785,785,30.31,7,78.4,15,55.1,1.17,1
WH-14,2024-09-12,92,532,532,41.23,13,70.48,31,55.3,3.89,24
WH-12,2026-02-25,108,112,112,44.96,5,92.55,72,63.7,3.64,17
WH-18,2024-05-20,400,435,435,17.98,2,91.31,36,45.5,3.02,21
WH-16,2024-06-13,223,752,752,35.51,17,84.32,67,99.3,0.88,37
WH-18,2025-07-01,251,545,545,40.01,18,77.54,14,80.1,2.12,19
WH-05,2024-10-22,199,452,452,27.97,1,,55,10.8,4.38,38
WH-09,2025-04-19,241,428,428,23.29,10,,77,98.5,1.96,17
WH-11,2025-11-14,356,239,239,13.69,3,,21,48.7,3.38,35
WH-19,2024-09-20,312,178,178,42.08,1,87.37,14,95.5,3.71,36
WH-06,2025-07-03,350,671,671,21.9,2,93.53,36,81.8,1.53,50
WH-15,2024-06-26,290,674,674,33.22,6,75.26,91,12.1,4.62,24
WH-05,2025-06-20,284,597,597,30.1,9,74.39,34,85.1,0.37,15
WH-12,2025-12-19,95,447,447,29.75,16,,44,98.9,0.9,10
WH-16,2025-04-01,289,502,502,14.89,5,91.21,64,81.9,1.5,18
WH-18,2025-02-10,52,231,231,39.8,9,96.65,33,56.6,2.13,10
WH-20,2025-08-15,211,399,399,21.89,8,75.28,40,83.3,0.5,44
WH-01,2025-07-08,294,551,551,11.48,2,76.2,72,23.4,1.86,39
WH-19,2025-06-08,288,461,461,11.3,7,94.17,18,67.7,0.54,11
WH-19,2024-05-23,172,687,687,11.91,9,,83,19.8,3.01,48
WH-12,2025-06-30,223,431,431,28.36,18,77.25,88,24.1,3.68,35
WH-19,2024-09-24,351,298,298,21.19,7,94.75,34,13.8,2.2,46
WH-10,2026-02-23,53,405,405,34.79,1,93.49,58,85.3,0.74,36
WH-11,2024-09-30,379,246,246,25.29,20,72.91,13,55.8,1.87,29
WH-17,2025-12-28,229,387,387,19.9,17,84.88,70,93.2,4.29,6
WH-10,2025-12-08,230,715,715,21.61,17,93.25,60,6.7,2.73,13
WH-13,2025-07-10,199,470,470,44.57,3,72.66,16,76.3,1.76,12
WH-12,2025-02-11,348,627,3135,38.14,13,,76,17.4,3.13,10
WH-09,2025-03-23,336,179,179,44.15,18,93.74,35,38.3,3.77,42
