timestamp,location_city,temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction,condition,visibility_km
2025-03-02 23:52,Leipzig,12.8,62.8,63.5,SE,storm,38.2
2024-09-19 16:52,Hamburg,-9.6,71.9,17.4,E,snow,11.2
2025-06-20 21:52,Munich,-8.4,73.8,76.1,N,storm,27.6
2026-03-30 05:52,Cologne,-10.3,39.1,21.2,N,fog,45.0
2025-04-09 15:52,Hamburg,,36.0,63.6,S,clear,18.6
2025-11-21 04:52,Stuttgart,,75.7,62.3,SE,cloudy,49.3
2025-10-13 16:52,Dortmund,1.0,54.4,61.9,SW,snow,21.3
2024-04-14 13:52,Cologne,,71.1,37.6,S,cloudy,38.4
2025-08-04 13:52,Frankfurt,31.3,37.8,50.6,E,cloudy,8.2
2026-02-11 13:52,Stuttgart,25.6,75.6,45.5,W,fog,21.8
2025-07-23 11:52,Berlin,-0.3,70.9,2.2,N,storm,32.3
2024-07-16 15:52,Cologne,25.4,68.1,40.8,NW,clear,46.4
2024-07-11 10:52,Dresden,-7.0,99.9,5.8,SE,cloudy,18.0
2025-10-17 08:52,Dusseldorf,-13.2,69.2,,W,storm,21.4
2025-08-02 05:52,Frankfurt,28.2,30.0,3.9,SE,cloudy,42.1
2024-07-30 23:52,Dresden,-3.1,45.7,65.6,W,clear,4.1
2024-07-11 07:52,Dresden,26.1,20.9,22.3,E,clear,6.8
2024-07-21 07:52,Munich,11.9,60.1,45.9,SW,snow,20.3
2025-02-07 10:52,Stuttgart,33.6,30.2,52.6,W,cloudy,29.2
2024-11-02 20:52,Munich,-5.8,98.5,26.9,W,clear,18.3
2024-09-29 01:52,Dresden,27.6,47.4,11.7,SE,storm,46.3
2024-06-01 09:52,Berlin,33.5,69.5,29.9,NE,clear,11.7
2024-06-12 23:52,Munich,-4.0,27.8,35.8,E,clear,48.3
2024-07-01 15:52,Stuttgart,23.2,89.5,33.5,SW,storm,4.1
2025-01-02 00:52,Leipzig,29.3,77.0,33.2,SW,rain,40.0
